id,user_id,status,created_at,solved_at
0,80,sent,9/26/2021,9/27/2021
1,32,sent,9/20/2021,9/20/2021
2,98,sent,9/24/2021,9/24/2021
3,682,sent,10/14/2021,10/14/2021
4,158,sent,9/25/2021,9/25/2021
5,909,sent,10/5/2021,10/6/2021
6,938,sent,9/19/2021,9/20/2021
7,260,sent,10/11/2021,10/14/2021
8,834,sent,10/6/2021,10/6/2021
9,984,sent,10/2/2021,10/4/2021
10,98,sent,9/17/2021,9/17/2021
11,716,sent,10/11/2021,10/11/2021
12,932,sent,10/2/2021,10/3/2021
13,233,sent,9/29/2021,9/29/2021
14,169,sent,9/29/2021,10/2/2021
15,640,sent,9/22/2021,9/22/2021
16,798,sent,9/24/2021,9/24/2021
17,178,sent,10/12/2021,10/12/2021
18,478,sent,10/4/2021,10/5/2021
19,148,sent,9/17/2021,9/17/2021
20,385,sent,10/11/2021,10/11/2021
21,766,sent,10/7/2021,10/7/2021
22,41,sent,10/13/2021,10/14/2021
23,589,sent,10/5/2021,10/7/2021
24,877,sent,10/7/2021,10/7/2021
25,529,sent,10/9/2021,10/9/2021
26,822,sent,9/22/2021,9/24/2021
27,768,sent,9/21/2021,9/21/2021
28,625,sent,9/20/2021,9/20/2021
29,594,sent,9/30/2021,9/30/2021
30,576,sent,9/20/2021,9/21/2021
31,604,sent,9/25/2021,9/25/2021
32,349,sent,9/19/2021,9/19/2021
33,639,sent,10/10/2021,10/12/2021
34,763,sent,10/4/2021,10/7/2021
35,322,sent,9/30/2021,9/30/2021
36,276,sent,9/20/2021,9/23/2021
37,77,sent,10/15/2021,10/16/2021
38,329,sent,9/24/2021,9/24/2021
39,249,sent,10/3/2021,10/4/2021
40,364,sent,9/18/2021,9/19/2021
41,357,sent,9/22/2021,9/22/2021
42,246,sent,9/18/2021,9/20/2021
43,237,sent,10/9/2021,10/10/2021
44,106,sent,9/28/2021,9/29/2021
45,598,sent,10/5/2021,10/5/2021
46,438,sent,10/6/2021,10/6/2021
47,473,sent,10/1/2021,10/2/2021
48,149,sent,10/12/2021,10/12/2021
49,660,sent,9/25/2021,9/25/2021
50,46,sent,10/6/2021,10/9/2021
51,337,sent,10/9/2021,10/9/2021
52,685,sent,10/10/2021,10/10/2021
53,522,sent,10/8/2021,10/8/2021
54,456,sent,9/26/2021,9/26/2021
55,358,sent,9/24/2021,9/27/2021
56,93,sent,10/15/2021,10/15/2021
57,941,sent,10/12/2021,10/12/2021
58,42,sent,10/16/2021,10/17/2021
59,666,sent,9/19/2021,9/19/2021
60,150,sent,9/18/2021,9/20/2021
61,635,sent,9/24/2021,9/25/2021
62,725,sent,9/20/2021,9/21/2021
63,585,sent,10/16/2021,10/17/2021
64,323,sent,10/11/2021,10/13/2021
65,802,sent,9/21/2021,9/22/2021
66,208,sent,10/3/2021,10/3/2021
67,757,sent,10/5/2021,10/5/2021
68,697,sent,10/13/2021,10/15/2021
69,780,sent,9/28/2021,9/29/2021
70,361,sent,10/11/2021,10/12/2021
71,318,sent,9/30/2021,9/30/2021
72,988,sent,10/5/2021,10/6/2021
73,796,sent,10/14/2021,10/14/2021
74,386,sent,10/7/2021,10/8/2021
75,545,sent,10/6/2021,10/9/2021
76,909,sent,10/4/2021,10/5/2021
77,416,sent,10/5/2021,10/5/2021
78,478,sent,9/27/2021,9/27/2021
79,192,sent,10/1/2021,10/1/2021
80,922,sent,10/4/2021,10/4/2021
81,497,sent,9/23/2021,9/23/2021
82,792,sent,9/30/2021,10/3/2021
83,419,sent,9/28/2021,9/30/2021
84,962,sent,10/8/2021,10/8/2021
85,191,sent,10/9/2021,10/9/2021
86,962,sent,10/5/2021,10/5/2021
87,324,sent,10/13/2021,10/13/2021
88,517,sent,10/4/2021,10/6/2021
89,415,sent,10/8/2021,10/11/2021
90,167,sent,10/3/2021,10/3/2021
91,898,sent,10/1/2021,10/1/2021
92,760,sent,10/10/2021,10/10/2021
93,540,sent,9/23/2021,9/24/2021
94,730,sent,9/27/2021,9/28/2021
95,278,sent,10/2/2021,10/2/2021
96,927,sent,10/2/2021,10/2/2021
97,742,sent,10/15/2021,10/16/2021
98,168,sent,9/23/2021,9/23/2021
